Files already downloaded and verified
Files already downloaded and verified
Epoch [1/20], Step [100/782], Loss: 1.8353
Epoch [1/20], Step [200/782], Loss: 1.5078
Epoch [1/20], Step [300/782], Loss: 1.3511
Epoch [1/20], Step [400/782], Loss: 1.3005
Epoch [1/20], Step [500/782], Loss: 1.2041
Epoch [1/20], Step [600/782], Loss: 1.1735
Epoch [1/20], Step [700/782], Loss: 1.1055
Epoch [1/20] completed. Training Accuracy: 64.66%
Epoch [2/20], Step [100/782], Loss: 1.0015
Epoch [2/20], Step [200/782], Loss: 0.9863
Epoch [2/20], Step [300/782], Loss: 0.9559
Epoch [2/20], Step [400/782], Loss: 0.9578
Epoch [2/20], Step [500/782], Loss: 0.9194
Epoch [2/20], Step [600/782], Loss: 0.9099
Epoch [2/20], Step [700/782], Loss: 0.9157
Epoch [2/20] completed. Training Accuracy: 72.43%
Epoch [3/20], Step [100/782], Loss: 0.7971
Epoch [3/20], Step [200/782], Loss: 0.7942
Epoch [3/20], Step [300/782], Loss: 0.7884
Epoch [3/20], Step [400/782], Loss: 0.7878
Epoch [3/20], Step [500/782], Loss: 0.7971
Epoch [3/20], Step [600/782], Loss: 0.8046
Epoch [3/20], Step [700/782], Loss: 0.7756
Epoch [3/20] completed. Training Accuracy: 76.08%
Epoch [4/20], Step [100/782], Loss: 0.6446
Epoch [4/20], Step [200/782], Loss: 0.6512
Epoch [4/20], Step [300/782], Loss: 0.7003
Epoch [4/20], Step [400/782], Loss: 0.6703
Epoch [4/20], Step [500/782], Loss: 0.6822
Epoch [4/20], Step [600/782], Loss: 0.6855
Epoch [4/20], Step [700/782], Loss: 0.6842
Epoch [4/20] completed. Training Accuracy: 80.93%
Epoch [5/20], Step [100/782], Loss: 0.5586
Epoch [5/20], Step [200/782], Loss: 0.5486
Epoch [5/20], Step [300/782], Loss: 0.5538
Epoch [5/20], Step [400/782], Loss: 0.5938
Epoch [5/20], Step [500/782], Loss: 0.5819
Epoch [5/20], Step [600/782], Loss: 0.5632
Epoch [5/20], Step [700/782], Loss: 0.5735
Epoch [5/20] completed. Training Accuracy: 83.63%
Epoch [6/20], Step [100/782], Loss: 0.4429
Epoch [6/20], Step [200/782], Loss: 0.4648
Epoch [6/20], Step [300/782], Loss: 0.4557
Epoch [6/20], Step [400/782], Loss: 0.4809
Epoch [6/20], Step [500/782], Loss: 0.4883
